"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","文語基本形","未然ヌ接続","未然ウ接続","連用タ接続","連用テ接続","連用ゴザイ接続","体言接続","仮定形","命令ｅ","仮定縮約１","仮定縮約２","ガル接続","基本形-促音便"
"自立","*","*","形容詞・アウオ段","草ぶかい","クサブカイ,クサブカシ,クサブカカラ,クサブカカロ,クサブカカッ,クサブカク,クサブカクッ,クサブカウ,クサブカゥ,クサブカキ,クサブカケレ,クサブカカレ,クサブカケリャ,クサブカキャ,クサブカ","草ぶかい","草ぶかし","草ぶかから","草ぶかかろ","草ぶかかっ","草ぶかくっ","草ぶかぅ","草ぶかき","草ぶかけれ","草ぶかかれ","草ぶかけりゃ","草ぶかきゃ","草ぶか",""
"自立","*","*","形容詞・アウオ段","こころぼそい","ココロボソイ,ココロボソシ,ココロボソカラ,ココロボソカロ,ココロボソカッ,ココロボソク,ココロボソクッ,ココロボソウ,ココロボソゥ,ココロボソキ,ココロボソケレ,ココロボソカレ,ココロボソケリャ,ココロボソキャ,ココロボソ","こころぼそい","こころぼそし","こころぼそから","こころぼそかろ","こころぼそかっ","こころぼそくっ","こころぼそぅ","こころぼそき","こころぼそけれ","こころぼそかれ","こころぼそけりゃ","こころぼそきゃ","こころぼそ",""
"自立","*","*","形容詞・アウオ段","聡い","サトイ,サトシ,サトカラ,サトカロ,サトカッ,サトク,サトクッ,サトウ,サトゥ,サトキ,サトケレ,サトカレ,サトケリャ,サトキャ,サト","聡い","聡し","聡から","聡かろ","聡かっ","聡くっ","聡ぅ","聡き","聡けれ","聡かれ","聡けりゃ","聡きゃ","聡",""
"自立","*","*","形容詞・イ段","いそがしい","イソガシイ,イソガシ,イソガシカラ,イソガシカロ,イソガシカッ,イソガシク,イソガシクッ,イソガシュウ,イソガシュゥ,イソガシキ,イソガシケレ,イソガシカレ,イソガシケリャ,イソガシキャ,イソガシ","いそがしい","いそがし","いそがしから","いそがしかろ","いそがしかっ","いそがしくっ","いそがしゅぅ","いそがしき","いそがしけれ","いそがしかれ","いそがしけりゃ","いそがしきゃ","いそがし",""
"自立","*","*","形容詞・アウオ段","なだかい","ナダカイ,ナダカシ,ナダカカラ,ナダカカロ,ナダカカッ,ナダカク,ナダカクッ,ナダカウ,ナダカゥ,ナダカキ,ナダカケレ,ナダカカレ,ナダカケリャ,ナダカキャ,ナダカ","なだかい","なだかし","なだかから","なだかかろ","なだかかっ","なだかくっ","なだかぅ","なだかき","なだかけれ","なだかかれ","なだかけりゃ","なだかきゃ","なだか",""
"自立","*","*","形容詞・イ段","たくましい","タクマシイ,タクマシ,タクマシカラ,タクマシカロ,タクマシカッ,タクマシク,タクマシクッ,タクマシュウ,タクマシュゥ,タクマシキ,タクマシケレ,タクマシカレ,タクマシケリャ,タクマシキャ,タクマシ","たくましい","たくまし","たくましから","たくましかろ","たくましかっ","たくましくっ","たくましゅぅ","たくましき","たくましけれ","たくましかれ","たくましけりゃ","たくましきゃ","たくまし",""
"自立","*","*","形容詞・アウオ段","ぎりがたい","ギリガタイ,ギリガタシ,ギリガタカラ,ギリガタカロ,ギリガタカッ,ギリガタク,ギリガタクッ,ギリガタウ,ギリガタゥ,ギリガタキ,ギリガタケレ,ギリガタカレ,ギリガタケリャ,ギリガタキャ,ギリガタ","ぎりがたい","ぎりがたし","ぎりがたから","ぎりがたかろ","ぎりがたかっ","ぎりがたくっ","ぎりがたぅ","ぎりがたき","ぎりがたけれ","ぎりがたかれ","ぎりがたけりゃ","ぎりがたきゃ","ぎりがた",""
"自立","*","*","形容詞・アウオ段","果てしない","ハテシナイ,ハテシナシ,ハテシナカラ,ハテシナカロ,ハテシナカッ,ハテシナク,ハテシナクッ,ハテシナウ,ハテシナゥ,ハテシナキ,ハテシナケレ,ハテシナカレ,ハテシナケリャ,ハテシナキャ,ハテシナ","果てしない","果てしなし","果てしなから","果てしなかろ","果てしなかっ","果てしなくっ","果てしなぅ","果てしなき","果てしなけれ","果てしなかれ","果てしなけりゃ","果てしなきゃ","果てしな",""
"自立","*","*","形容詞・イ段","痛々しい","イタイタシイ,イタイタシ,イタイタシカラ,イタイタシカロ,イタイタシカッ,イタイタシク,イタイタシクッ,イタイタシュウ,イタイタシュゥ,イタイタシキ,イタイタシケレ,イタイタシカレ,イタイタシケリャ,イタイタシキャ,イタイタシ","痛々しい","痛々し","痛々しから","痛々しかろ","痛々しかっ","痛々しくっ","痛々しゅぅ","痛々しき","痛々しけれ","痛々しかれ","痛々しけりゃ","痛々しきゃ","痛々し",""
"自立","*","*","形容詞・アウオ段","よんどころ無い","ヨンドコロナイ,ヨンドコロナシ,ヨンドコロナカラ,ヨンドコロナカロ,ヨンドコロナカッ,ヨンドコロナク,ヨンドコロナクッ,ヨンドコロナウ,ヨンドコロナゥ,ヨンドコロナキ,ヨンドコロナケレ,ヨンドコロナカレ,ヨンドコロナケリャ,ヨンドコロナキャ,ヨンドコロナ","よんどころ無い","よんどころ無し","よんどころ無から","よんどころ無かろ","よんどころ無かっ","よんどころ無くっ","よんどころ無ぅ","よんどころ無き","よんどころ無けれ","よんどころ無かれ","よんどころ無けりゃ","よんどころ無きゃ","よんどころ無",""
"自立","*","*","形容詞・アウオ段","ぞくっぽい","ゾクッポイ,ゾクッポシ,ゾクッポカラ,ゾクッポカロ,ゾクッポカッ,ゾクッポク,ゾクッポクッ,ゾクッポウ,ゾクッポゥ,ゾクッポキ,ゾクッポケレ,ゾクッポカレ,ゾクッポケリャ,ゾクッポキャ,ゾクッポ","ぞくっぽい","ぞくっぽし","ぞくっぽから","ぞくっぽかろ","ぞくっぽかっ","ぞくっぽくっ","ぞくっぽぅ","ぞくっぽき","ぞくっぽけれ","ぞくっぽかれ","ぞくっぽけりゃ","ぞくっぽきゃ","ぞくっぽ",""
"自立","*","*","形容詞・アウオ段","呆気ない","アッケナイ,アッケナシ,アッケナカラ,アッケナカロ,アッケナカッ,アッケナク,アッケナクッ,アッケナウ,アッケナゥ,アッケナキ,アッケナケレ,アッケナカレ,アッケナケリャ,アッケナキャ,アッケナ","呆気ない","呆気なし","呆気なから","呆気なかろ","呆気なかっ","呆気なくっ","呆気なぅ","呆気なき","呆気なけれ","呆気なかれ","呆気なけりゃ","呆気なきゃ","呆気な",""
"自立","*","*","形容詞・アウオ段","面倒くさい","メンドウクサイ,メンドウクサシ,メンドウクサカラ,メンドウクサカロ,メンドウクサカッ,メンドウクサク,メンドウクサクッ,メンドウクサウ,メンドウクサゥ,メンドウクサキ,メンドウクサケレ,メンドウクサカレ,メンドウクサケリャ,メンドウクサキャ,メンドウクサ","面倒くさい","面倒くさし","面倒くさから","面倒くさかろ","面倒くさかっ","面倒くさくっ","面倒くさぅ","面倒くさき","面倒くさけれ","面倒くさかれ","面倒くさけりゃ","面倒くさきゃ","面倒くさ",""
"自立","*","*","形容詞・アウオ段","くらい","クライ,クラシ,クラカラ,クラカロ,クラカッ,クラク,クラクッ,クラウ,クラゥ,クラキ,クラケレ,クラカレ,クラケリャ,クラキャ,クラ","くらい","くらし","くらから","くらかろ","くらかっ","くらくっ","くらぅ","くらき","くらけれ","くらかれ","くらけりゃ","くらきゃ","くら",""
"自立","*","*","形容詞・イ段","きぜわしい","キゼワシイ,キゼワシ,キゼワシカラ,キゼワシカロ,キゼワシカッ,キゼワシク,キゼワシクッ,キゼワシュウ,キゼワシュゥ,キゼワシキ,キゼワシケレ,キゼワシカレ,キゼワシケリャ,キゼワシキャ,キゼワシ","きぜわしい","きぜわし","きぜわしから","きぜわしかろ","きぜわしかっ","きぜわしくっ","きぜわしゅぅ","きぜわしき","きぜわしけれ","きぜわしかれ","きぜわしけりゃ","きぜわしきゃ","きぜわし",""
"自立","*","*","形容詞・イ段","わざとらしい","ワザトラシイ,ワザトラシ,ワザトラシカラ,ワザトラシカロ,ワザトラシカッ,ワザトラシク,ワザトラシクッ,ワザトラシュウ,ワザトラシュゥ,ワザトラシキ,ワザトラシケレ,ワザトラシカレ,ワザトラシケリャ,ワザトラシキャ,ワザトラシ","わざとらしい","わざとらし","わざとらしから","わざとらしかろ","わざとらしかっ","わざとらしくっ","わざとらしゅぅ","わざとらしき","わざとらしけれ","わざとらしかれ","わざとらしけりゃ","わざとらしきゃ","わざとらし",""
"自立","*","*","形容詞・アウオ段","むずがゆい","ムズガユイ,ムズガユシ,ムズガユカラ,ムズガユカロ,ムズガユカッ,ムズガユク,ムズガユクッ,ムズガユウ,ムズガユゥ,ムズガユキ,ムズガユケレ,ムズガユカレ,ムズガユケリャ,ムズガユキャ,ムズガユ","むずがゆい","むずがゆし","むずがゆから","むずがゆかろ","むずがゆかっ","むずがゆくっ","むずがゆぅ","むずがゆき","むずがゆけれ","むずがゆかれ","むずがゆけりゃ","むずがゆきゃ","むずがゆ",""
"自立","*","*","形容詞・アウオ段","つきづきい","ツキヅキイ,ツキヅキシ,ツキヅキカラ,ツキヅキカロ,ツキヅキカッ,ツキヅキク,ツキヅキクッ,ツキヅキウ,ツキヅキゥ,ツキヅキキ,ツキヅキケレ,ツキヅキカレ,ツキヅキケリャ,ツキヅキキャ,ツキヅキ","つきづきい","つきづきし","つきづきから","つきづきかろ","つきづきかっ","つきづきくっ","つきづきぅ","つきづきき","つきづきけれ","つきづきかれ","つきづきけりゃ","つきづききゃ","つきづき",""
"自立","*","*","形容詞・イ段","福々しい","フクブクシイ,フクブクシ,フクブクシカラ,フクブクシカロ,フクブクシカッ,フクブクシク,フクブクシクッ,フクブクシュウ,フクブクシュゥ,フクブクシキ,フクブクシケレ,フクブクシカレ,フクブクシケリャ,フクブクシキャ,フクブクシ","福々しい","福々し","福々しから","福々しかろ","福々しかっ","福々しくっ","福々しゅぅ","福々しき","福々しけれ","福々しかれ","福々しけりゃ","福々しきゃ","福々し",""
"自立","*","*","形容詞・イ段","押しつけがましい","オシツケガマシイ,オシツケガマシ,オシツケガマシカラ,オシツケガマシカロ,オシツケガマシカッ,オシツケガマシク,オシツケガマシクッ,オシツケガマシュウ,オシツケガマシュゥ,オシツケガマシキ,オシツケガマシケレ,オシツケガマシカレ,オシツケガマシケリャ,オシツケガマシキャ,オシツケガマシ","押しつけがましい","押しつけがまし","押しつけがましから","押しつけがましかろ","押しつけがましかっ","押しつけがましくっ","押しつけがましゅぅ","押しつけがましき","押しつけがましけれ","押しつけがましかれ","押しつけがましけりゃ","押しつけがましきゃ","押しつけがまし",""
"自立","*","*","形容詞・アウオ段","ぶ厚い","ブアツイ,ブアツシ,ブアツカラ,ブアツカロ,ブアツカッ,ブアツク,ブアツクッ,ブアツウ,ブアツゥ,ブアツキ,ブアツケレ,ブアツカレ,ブアツケリャ,ブアツキャ,ブアツ","ぶ厚い","ぶ厚し","ぶ厚から","ぶ厚かろ","ぶ厚かっ","ぶ厚くっ","ぶ厚ぅ","ぶ厚き","ぶ厚けれ","ぶ厚かれ","ぶ厚けりゃ","ぶ厚きゃ","ぶ厚",""
"自立","*","*","形容詞・イ段","軽がろしい","カロガロシイ,カロガロシ,カロガロシカラ,カロガロシカロ,カロガロシカッ,カロガロシク,カロガロシクッ,カロガロシュウ,カロガロシュゥ,カロガロシキ,カロガロシケレ,カロガロシカレ,カロガロシケリャ,カロガロシキャ,カロガロシ","軽がろしい","軽がろし","軽がろしから","軽がろしかろ","軽がろしかっ","軽がろしくっ","軽がろしゅぅ","軽がろしき","軽がろしけれ","軽がろしかれ","軽がろしけりゃ","軽がろしきゃ","軽がろし",""
"自立","*","*","形容詞・イ段","いちじるしい","イチジルシイ,イチジルシ,イチジルシカラ,イチジルシカロ,イチジルシカッ,イチジルシク,イチジルシクッ,イチジルシュウ,イチジルシュゥ,イチジルシキ,イチジルシケレ,イチジルシカレ,イチジルシケリャ,イチジルシキャ,イチジルシ","いちじるしい","いちじるし","いちじるしから","いちじるしかろ","いちじるしかっ","いちじるしくっ","いちじるしゅぅ","いちじるしき","いちじるしけれ","いちじるしかれ","いちじるしけりゃ","いちじるしきゃ","いちじるし",""
"自立","*","*","形容詞・アウオ段","ものみだかい","モノミダカイ,モノミダカシ,モノミダカカラ,モノミダカカロ,モノミダカカッ,モノミダカク,モノミダカクッ,モノミダカウ,モノミダカゥ,モノミダカキ,モノミダカケレ,モノミダカカレ,モノミダカケリャ,モノミダカキャ,モノミダカ","ものみだかい","ものみだかし","ものみだかから","ものみだかかろ","ものみだかかっ","ものみだかくっ","ものみだかぅ","ものみだかき","ものみだかけれ","ものみだかかれ","ものみだかけりゃ","ものみだかきゃ","ものみだか",""
"自立","*","*","形容詞・アウオ段","さとい","サトイ,サトシ,サトカラ,サトカロ,サトカッ,サトク,サトクッ,サトウ,サトゥ,サトキ,サトケレ,サトカレ,サトケリャ,サトキャ,サト","さとい","さとし","さとから","さとかろ","さとかっ","さとくっ","さとぅ","さとき","さとけれ","さとかれ","さとけりゃ","さときゃ","さと",""
"自立","*","*","形容詞・アウオ段","薄ら寒い","ウスラサムイ,ウスラサムシ,ウスラサムカラ,ウスラサムカロ,ウスラサムカッ,ウスラサムク,ウスラサムクッ,ウスラサムウ,ウスラサムゥ,ウスラサムキ,ウスラサムケレ,ウスラサムカレ,ウスラサムケリャ,ウスラサムキャ,ウスラサム","薄ら寒い","薄ら寒し","薄ら寒から","薄ら寒かろ","薄ら寒かっ","薄ら寒くっ","薄ら寒ぅ","薄ら寒き","薄ら寒けれ","薄ら寒かれ","薄ら寒けりゃ","薄ら寒きゃ","薄ら寒",""
"自立","*","*","形容詞・イ段","懐かしい","ナツカシイ,ナツカシ,ナツカシカラ,ナツカシカロ,ナツカシカッ,ナツカシク,ナツカシクッ,ナツカシュウ,ナツカシュゥ,ナツカシキ,ナツカシケレ,ナツカシカレ,ナツカシケリャ,ナツカシキャ,ナツカシ","懐かしい","懐かし","懐かしから","懐かしかろ","懐かしかっ","懐かしくっ","懐かしゅぅ","懐かしき","懐かしけれ","懐かしかれ","懐かしけりゃ","懐かしきゃ","懐かし",""
"自立","*","*","形容詞・アウオ段","あつい","アツイ,アツシ,アツカラ,アツカロ,アツカッ,アツク,アツクッ,アツウ,アツゥ,アツキ,アツケレ,アツカレ,アツケリャ,アツキャ,アツ","あつい","あつし","あつから","あつかろ","あつかっ","あつくっ","あつぅ","あつき","あつけれ","あつかれ","あつけりゃ","あつきゃ","あつ",""
"自立","*","*","形容詞・イ段","禍禍しい","マガマガシイ,マガマガシ,マガマガシカラ,マガマガシカロ,マガマガシカッ,マガマガシク,マガマガシクッ,マガマガシュウ,マガマガシュゥ,マガマガシキ,マガマガシケレ,マガマガシカレ,マガマガシケリャ,マガマガシキャ,マガマガシ","禍禍しい","禍禍し","禍禍しから","禍禍しかろ","禍禍しかっ","禍禍しくっ","禍禍しゅぅ","禍禍しき","禍禍しけれ","禍禍しかれ","禍禍しけりゃ","禍禍しきゃ","禍禍し",""
"自立","*","*","形容詞・アウオ段","早い","ハヤイ,ハヤシ,ハヤカラ,ハヤカロ,ハヤカッ,ハヤク,ハヤクッ,ハヤウ,ハヤゥ,ハヤキ,ハヤケレ,ハヤカレ,ハヤケリャ,ハヤキャ,ハヤ","早い","早し","早から","早かろ","早かっ","早くっ","早ぅ","早き","早けれ","早かれ","早けりゃ","早きゃ","早",""
"自立","*","*","形容詞・イ段","物悲しい","モノガナシイ,モノガナシ,モノガナシカラ,モノガナシカロ,モノガナシカッ,モノガナシク,モノガナシクッ,モノガナシュウ,モノガナシュゥ,モノガナシキ,モノガナシケレ,モノガナシカレ,モノガナシケリャ,モノガナシキャ,モノガナシ","物悲しい","物悲し","物悲しから","物悲しかろ","物悲しかっ","物悲しくっ","物悲しゅぅ","物悲しき","物悲しけれ","物悲しかれ","物悲しけりゃ","物悲しきゃ","物悲し",""
"自立","*","*","形容詞・アウオ段","畏れ多い","オソレオオイ,オソレオオシ,オソレオオカラ,オソレオオカロ,オソレオオカッ,オソレオオク,オソレオオクッ,オソレオオウ,オソレオオゥ,オソレオオキ,オソレオオケレ,オソレオオカレ,オソレオオケリャ,オソレオオキャ,オソレオオ","畏れ多い","畏れ多し","畏れ多から","畏れ多かろ","畏れ多かっ","畏れ多くっ","畏れ多ぅ","畏れ多き","畏れ多けれ","畏れ多かれ","畏れ多けりゃ","畏れ多きゃ","畏れ多",""
"自立","*","*","形容詞・アウオ段","しろい","シロイ,シロシ,シロカラ,シロカロ,シロカッ,シロク,シロクッ,シロウ,シロゥ,シロキ,シロケレ,シロカレ,シロケリャ,シロキャ,シロ","しろい","しろし","しろから","しろかろ","しろかっ","しろくっ","しろぅ","しろき","しろけれ","しろかれ","しろけりゃ","しろきゃ","しろ",""
"自立","*","*","形容詞・イ段","耀かしい","カガヤカシイ,カガヤカシ,カガヤカシカラ,カガヤカシカロ,カガヤカシカッ,カガヤカシク,カガヤカシクッ,カガヤカシュウ,カガヤカシュゥ,カガヤカシキ,カガヤカシケレ,カガヤカシカレ,カガヤカシケリャ,カガヤカシキャ,カガヤカシ","耀かしい","耀かし","耀かしから","耀かしかろ","耀かしかっ","耀かしくっ","耀かしゅぅ","耀かしき","耀かしけれ","耀かしかれ","耀かしけりゃ","耀かしきゃ","耀かし",""
"自立","*","*","形容詞・アウオ段","暗い","クライ,クラシ,クラカラ,クラカロ,クラカッ,クラク,クラクッ,クラウ,クラゥ,クラキ,クラケレ,クラカレ,クラケリャ,クラキャ,クラ","暗い","暗し","暗から","暗かろ","暗かっ","暗くっ","暗ぅ","暗き","暗けれ","暗かれ","暗けりゃ","暗きゃ","暗",""
"自立","*","*","形容詞・アウオ段","堪難い","タエガタイ,タエガタシ,タエガタカラ,タエガタカロ,タエガタカッ,タエガタク,タエガタクッ,タエガタウ,タエガタゥ,タエガタキ,タエガタケレ,タエガタカレ,タエガタケリャ,タエガタキャ,タエガタ","堪難い","堪難し","堪難から","堪難かろ","堪難かっ","堪難くっ","堪難ぅ","堪難き","堪難けれ","堪難かれ","堪難けりゃ","堪難きゃ","堪難",""
"自立","*","*","形容詞・アウオ段","ねばりづよい","ネバリヅヨイ,ネバリヅヨシ,ネバリヅヨカラ,ネバリヅヨカロ,ネバリヅヨカッ,ネバリヅヨク,ネバリヅヨクッ,ネバリヅヨウ,ネバリヅヨゥ,ネバリヅヨキ,ネバリヅヨケレ,ネバリヅヨカレ,ネバリヅヨケリャ,ネバリヅヨキャ,ネバリヅヨ","ねばりづよい","ねばりづよし","ねばりづよから","ねばりづよかろ","ねばりづよかっ","ねばりづよくっ","ねばりづよぅ","ねばりづよき","ねばりづよけれ","ねばりづよかれ","ねばりづよけりゃ","ねばりづよきゃ","ねばりづよ",""
"自立","*","*","形容詞・アウオ段","あさまい","アサマイ,アサマシ,アサマカラ,アサマカロ,アサマカッ,アサマク,アサマクッ,アサマウ,アサマゥ,アサマキ,アサマケレ,アサマカレ,アサマケリャ,アサマキャ,アサマ","あさまい","あさまし","あさまから","あさまかろ","あさまかっ","あさまくっ","あさまぅ","あさまき","あさまけれ","あさまかれ","あさまけりゃ","あさまきゃ","あさま",""
"自立","*","*","形容詞・イ段","ねぐるしい","ネグルシイ,ネグルシ,ネグルシカラ,ネグルシカロ,ネグルシカッ,ネグルシク,ネグルシクッ,ネグルシュウ,ネグルシュゥ,ネグルシキ,ネグルシケレ,ネグルシカレ,ネグルシケリャ,ネグルシキャ,ネグルシ","ねぐるしい","ねぐるし","ねぐるしから","ねぐるしかろ","ねぐるしかっ","ねぐるしくっ","ねぐるしゅぅ","ねぐるしき","ねぐるしけれ","ねぐるしかれ","ねぐるしけりゃ","ねぐるしきゃ","ねぐるし",""
"自立","*","*","形容詞・イ段","遽しい","アワタダシイ,アワタダシ,アワタダシカラ,アワタダシカロ,アワタダシカッ,アワタダシク,アワタダシクッ,アワタダシュウ,アワタダシュゥ,アワタダシキ,アワタダシケレ,アワタダシカレ,アワタダシケリャ,アワタダシキャ,アワタダシ","遽しい","遽し","遽しから","遽しかろ","遽しかっ","遽しくっ","遽しゅぅ","遽しき","遽しけれ","遽しかれ","遽しけりゃ","遽しきゃ","遽し",""
"自立","*","*","形容詞・アウオ段","赤黒い","アカグロイ,アカグロシ,アカグロカラ,アカグロカロ,アカグロカッ,アカグロク,アカグロクッ,アカグロウ,アカグロゥ,アカグロキ,アカグロケレ,アカグロカレ,アカグロケリャ,アカグロキャ,アカグロ","赤黒い","赤黒し","赤黒から","赤黒かろ","赤黒かっ","赤黒くっ","赤黒ぅ","赤黒き","赤黒けれ","赤黒かれ","赤黒けりゃ","赤黒きゃ","赤黒",""
"自立","*","*","形容詞・アウオ段","小暗い","オグライ,オグラシ,オグラカラ,オグラカロ,オグラカッ,オグラク,オグラクッ,オグラウ,オグラゥ,オグラキ,オグラケレ,オグラカレ,オグラケリャ,オグラキャ,オグラ,コグライ,コグラシ,コグラカラ,コグラカロ,コグラカッ,コグラク,コグラクッ,コグラウ,コグラゥ,コグラキ,コグラケレ,コグラカレ,コグラケリャ,コグラキャ,コグラ","小暗い","小暗し","小暗から","小暗かろ","小暗かっ","小暗くっ","小暗ぅ","小暗き","小暗けれ","小暗かれ","小暗けりゃ","小暗きゃ","小暗",""
"自立","*","*","形容詞・アウオ段","つみぶかい","ツミブカイ,ツミブカシ,ツミブカカラ,ツミブカカロ,ツミブカカッ,ツミブカク,ツミブカクッ,ツミブカウ,ツミブカゥ,ツミブカキ,ツミブカケレ,ツミブカカレ,ツミブカケリャ,ツミブカキャ,ツミブカ","つみぶかい","つみぶかし","つみぶかから","つみぶかかろ","つみぶかかっ","つみぶかくっ","つみぶかぅ","つみぶかき","つみぶかけれ","つみぶかかれ","つみぶかけりゃ","つみぶかきゃ","つみぶか",""
"自立","*","*","形容詞・イ段","汚らわしい","ケガラワシイ,ケガラワシ,ケガラワシカラ,ケガラワシカロ,ケガラワシカッ,ケガラワシク,ケガラワシクッ,ケガラワシュウ,ケガラワシュゥ,ケガラワシキ,ケガラワシケレ,ケガラワシカレ,ケガラワシケリャ,ケガラワシキャ,ケガラワシ","汚らわしい","汚らわし","汚らわしから","汚らわしかろ","汚らわしかっ","汚らわしくっ","汚らわしゅぅ","汚らわしき","汚らわしけれ","汚らわしかれ","汚らわしけりゃ","汚らわしきゃ","汚らわし",""
"自立","*","*","形容詞・イ段","おろかしい","オロカシイ,オロカシ,オロカシカラ,オロカシカロ,オロカシカッ,オロカシク,オロカシクッ,オロカシュウ,オロカシュゥ,オロカシキ,オロカシケレ,オロカシカレ,オロカシケリャ,オロカシキャ,オロカシ","おろかしい","おろかし","おろかしから","おろかしかろ","おろかしかっ","おろかしくっ","おろかしゅぅ","おろかしき","おろかしけれ","おろかしかれ","おろかしけりゃ","おろかしきゃ","おろかし",""
"自立","*","*","形容詞・アウオ段","ほそながい","ホソナガイ,ホソナガシ,ホソナガカラ,ホソナガカロ,ホソナガカッ,ホソナガク,ホソナガクッ,ホソナガウ,ホソナガゥ,ホソナガキ,ホソナガケレ,ホソナガカレ,ホソナガケリャ,ホソナガキャ,ホソナガ","ほそながい","ほそながし","ほそながから","ほそながかろ","ほそながかっ","ほそながくっ","ほそながぅ","ほそながき","ほそながけれ","ほそながかれ","ほそながけりゃ","ほそながきゃ","ほそなが",""
"自立","*","*","形容詞・アウオ段","気づよい","キヅヨイ,キヅヨシ,キヅヨカラ,キヅヨカロ,キヅヨカッ,キヅヨク,キヅヨクッ,キヅヨウ,キヅヨゥ,キヅヨキ,キヅヨケレ,キヅヨカレ,キヅヨケリャ,キヅヨキャ,キヅヨ","気づよい","気づよし","気づよから","気づよかろ","気づよかっ","気づよくっ","気づよぅ","気づよき","気づよけれ","気づよかれ","気づよけりゃ","気づよきゃ","気づよ",""
"自立","*","*","形容詞・アウオ段","辛い","ツライ,ツラシ,ツラカラ,ツラカロ,ツラカッ,ツラク,ツラクッ,ツラウ,ツラゥ,ツラキ,ツラケレ,ツラカレ,ツラケリャ,ツラキャ,ツラ,カライ,カラシ,カラカラ,カラカロ,カラカッ,カラク,カラクッ,カラウ,カラゥ,カラキ,カラケレ,カラカレ,カラケリャ,カラキャ,カラ","辛い","辛し","辛から","辛かろ","辛かっ","辛くっ","辛ぅ","辛き","辛けれ","辛かれ","辛けりゃ","辛きゃ","辛",""
"自立","*","*","形容詞・アウオ段","まわりくどい","マワリクドイ,マワリクドシ,マワリクドカラ,マワリクドカロ,マワリクドカッ,マワリクドク,マワリクドクッ,マワリクドウ,マワリクドゥ,マワリクドキ,マワリクドケレ,マワリクドカレ,マワリクドケリャ,マワリクドキャ,マワリクド","まわりくどい","まわりくどし","まわりくどから","まわりくどかろ","まわりくどかっ","まわりくどくっ","まわりくどぅ","まわりくどき","まわりくどけれ","まわりくどかれ","まわりくどけりゃ","まわりくどきゃ","まわりくど",""
"自立","*","*","形容詞・イ段","生新しい","ナマアタラシイ,ナマアタラシ,ナマアタラシカラ,ナマアタラシカロ,ナマアタラシカッ,ナマアタラシク,ナマアタラシクッ,ナマアタラシュウ,ナマアタラシュゥ,ナマアタラシキ,ナマアタラシケレ,ナマアタラシカレ,ナマアタラシケリャ,ナマアタラシキャ,ナマアタラシ","生新しい","生新し","生新しから","生新しかろ","生新しかっ","生新しくっ","生新しゅぅ","生新しき","生新しけれ","生新しかれ","生新しけりゃ","生新しきゃ","生新し",""
"自立","*","*","形容詞・イ段","末頼もしい","スエタノモシイ,スエタノモシ,スエタノモシカラ,スエタノモシカロ,スエタノモシカッ,スエタノモシク,スエタノモシクッ,スエタノモシュウ,スエタノモシュゥ,スエタノモシキ,スエタノモシケレ,スエタノモシカレ,スエタノモシケリャ,スエタノモシキャ,スエタノモシ","末頼もしい","末頼もし","末頼もしから","末頼もしかろ","末頼もしかっ","末頼もしくっ","末頼もしゅぅ","末頼もしき","末頼もしけれ","末頼もしかれ","末頼もしけりゃ","末頼もしきゃ","末頼もし",""
"接尾","*","*","形容詞・イ段","ったらしい","ッタラシイ,ッタラシ,ッタラシカラ,ッタラシカロ,ッタラシカッ,ッタラシク,ッタラシクッ,ッタラシュウ,ッタラシュゥ,ッタラシキ,ッタラシケレ,ッタラシカレ,ッタラシケリャ,ッタラシキャ,ッタラシ","ったらしい","ったらし","ったらしから","ったらしかろ","ったらしかっ","ったらしくっ","ったらしゅぅ","ったらしき","ったらしけれ","ったらしかれ","ったらしけりゃ","ったらしきゃ","ったらし",""
"自立","*","*","形容詞・イ段","こうごうしい","コウゴウシイ,コウゴウシ,コウゴウシカラ,コウゴウシカロ,コウゴウシカッ,コウゴウシク,コウゴウシクッ,コウゴウシュウ,コウゴウシュゥ,コウゴウシキ,コウゴウシケレ,コウゴウシカレ,コウゴウシケリャ,コウゴウシキャ,コウゴウシ","こうごうしい","こうごうし","こうごうしから","こうごうしかろ","こうごうしかっ","こうごうしくっ","こうごうしゅぅ","こうごうしき","こうごうしけれ","こうごうしかれ","こうごうしけりゃ","こうごうしきゃ","こうごうし",""
"自立","*","*","形容詞・アウオ段","キメ細かい","キメコマカイ,キメコマカシ,キメコマカカラ,キメコマカカロ,キメコマカカッ,キメコマカク,キメコマカクッ,キメコマカウ,キメコマカゥ,キメコマカキ,キメコマカケレ,キメコマカカレ,キメコマカケリャ,キメコマカキャ,キメコマカ","キメ細かい","キメ細かし","キメ細かから","キメ細かかろ","キメ細かかっ","キメ細かくっ","キメ細かぅ","キメ細かき","キメ細かけれ","キメ細かかれ","キメ細かけりゃ","キメ細かきゃ","キメ細か",""
